#	#	#
0	2	1.41
1	4	2.00
2	6	2.45
3	9	3.00
4	13	3.61
5	21	4.58
6	30	5.48
7	39	6.24
8	41	6.40
9	59	7.68
10	78	8.83
11	112	10.58
12	169	13.00
13	245	15.65
14	331	18.19
15	448	21.17
16	642	25.34

